Move:  Attack Order | BUG | EOT 0 | 2 | DB9 | PHYSICAL |  6, 1 Target |  Attack Order is a Critical Hit on 18+. |
Move:  Pay Day | NORMAL | DAILY 0 | 2 | DB4 | PHYSICAL |  Cone 2 |  Pay Day scatters metal coins equal in value to 1d8 times the user’s level. If it is a trainer battle, the winner of the battle gets to pick up the coins. |
Move:  Perish Song | NORMAL | DAILY 0 | 0 | NON | STATUS |  Burst 15, Sonic |  Perish Song cannot miss. All targets, including the user, receive a Perish Count of 3. At the beginning of each of the target’s turns, their Perish count is lowered by 1. Once a Perish Count reaches 0, set the Pokémon’s Hit Points to 0. A Perish Count disappears if a target returns to their Poké Ball, Takes a Breather, or is knocked out. Perish Song never causes Massive Damage. |
Move:  Play Nice | NORMAL | AW 0 | 2 | NON | STATUS |  6, 1 Target, Social |  Play Nice lowers the target’s Attack by 1 Combat Stage. |
Move:  Pound | NORMAL | AW 0 | 2 | DB4 | PHYSICAL |  Melee, 1 Target |  None |
Move:  Present | NORMAL | EOT 0 | 3 | NON | PHYSICAL |  4, 1 Target |  Roll 1d6; Present has a  |
Move:  Protect | NORMAL | SCENE 0 | 0 | NON | STATUS |  Self, Interrupt, Shield, Trigger |  If the user is hit by a Move, the user may use Protect. The user is instead not hit by the Move. You do not take any damage nor are you affected by any of the Move’s effects. |
Move:  Psych Up | NORMAL | SCENE 0 | 0 | NON | STATUS |  6, 1 Target |  The user’s Combat Stages are changed to match the target’s Combat Stages. Psych Up cannot miss. |
Move:  Quick Attack | NORMAL | AW 0 | 2 | DB4 | PHYSICAL |  Melee, 1 Target, Priority |  None |
Move:  Rage | NORMAL | AW 0 | 2 | DB2 | PHYSICAL |  Melee, 1 Target, Spirit Surge |  The user becomes Enraged. Until the end of the user’s next turn, if the user is Enraged, the user gains +1 Attack Combat Stage whenever they are damaged by an Damaging Move or Attack. |
Move:  Rapid Spin | NORMAL | AW 0 | 2 | DB2 | PHYSICAL |  Melee, 1 Target, Spirit Surge |  Rapid Spin destroys all Hazards within 5 meters, removes Leech Seeds, and removes the user’s Trapped or Stuck status. |
Move:  Razor Wind | NORMAL | EOT 0 | 2 | DB8 | SPECIAL |  10, 3 Targets, Set-Up |  The user may not shift this round. The user whips up a whirlwind around themselves, granting +2 Evasion until the end of their next turn, and destroying any Smokescreen or Hazards on any squares they are standing on and in all squares adjacent to them.->The user attacks with Razor Wind. Razor Wind is a Critical Hit on 18+. |
Move:  Recover | NORMAL | DAILY 2 | 0 | NON | STATUS |  Self, Healing |  The user regains Hit Points equal to half of its full Hit Point value. |
Move:  Recycle | NORMAL | SCENE 0 | 0 | NON | STATUS |  Self |  The effect of a consumable item used earlier in the encounter is used again as if it had not been destroyed. The item is still gone. |
Move:  Reflect Type | NORMAL | SCENE 0 | 2 | NON | STATUS |  Melee, 1 Target |  Reflect Type changes one of the user’s Types into one Type of your choice that the target has for the rest of the scene. |
Move:  Refresh | NORMAL | SCENE 2 | 0 | NON | STATUS |  Self |  The user is cured of all Poison, Burns, and Paralysis. |
Move:  Relic Song | NORMAL | SCENE 0 | 2 | DB8 | SPECIAL |  Burst 3, Friendly, Sonic |  All Legal Targets fall Asleep on 16+. As long as Meloetta knows Relic Song, it may change between Aria Form and Step Form as a Swift Action when using Relic Song, or as a Standard Action otherwise. Both Aria and Step Form must be statted with the same HP Stat. |
Move:  Retaliate | NORMAL | SCENE 2 | 2 | DB7 | PHYSICAL |  Melee, 1 Target |  Retaliate’s  |
Move:  Return | NORMAL | EOT 0 | 2 | NON | PHYSICAL |  Melee, 1 Target |  Return’s  |
Move:  Revelation Dance | NORMAL | EOT 0 | 2 | DB9 | SPECIAL |  6, 1 Target, Dance |  Revelation Dance is the same Type as the user’s primary Type (the first one listed in the Pokédex). Revelation Dance deals +5 Bonus Damage for every other Dance Move used by the user this round, to a maximum of +15. |
Move:  Roar | NORMAL | SCENE 0 | 2 | NON | STATUS |  Burst 1, Sonic, Social |  When declaring Roar, the user does nothing and may not Shift. At the end of the round, the user Shifts and uses Roar. Targets hit by Roar immediately Shift away from the target using their highest usable movement capability, and towards their Trainer if possible. If the target is an owned Pokémon and ends this shift within 6 meters of their Poké Ball, they are immediately recalled to their Poké Ball. If that Trainer sends out a replacement, they do not lose their Pokémon turn. |
Move:  Rock Climb | NORMAL | AW 0 | 5 | DB8 | PHYSICAL |  Melee, 1 Target, Dash |  Rock Climb Confuses the target on 17+. |
Move:  Round | NORMAL | EOT 0 | 2 | NON | SPECIAL |  Burst 1, Sonic |  Round’s  |
Move:  Safeguard | NORMAL | SCENE 0 | 0 | NON | STATUS |  Blessing |  Blessing – Any user affected by Safeguard may activate it when receiving a Status Affliction to ignore the effects of that Status Affliction on their next turn. Safeguard may be activated 3 times, and then disappears. |
Move:  Scary Face | NORMAL | EOT 0 | 2 | NON | STATUS |  4, 1 Target, Social |  The target’s Speed is lowered 2 Combat Stages. |
Move:  Scratch | NORMAL | AW 0 | 2 | DB4 | PHYSICAL |  Melee, Pass |  None |
Move:  Screech | NORMAL | EOT 0 | 4 | NON | STATUS |  Burst 2, Friendly, Sonic |  All Legal Targets have their Defense lowered 2 Combat Stages. |
Move:  Secret Power | NORMAL | AW 0 | 2 | DB7 | SPECIAL |  4, 1 Target, Environ |  Secret Power’s effect depends on Environ. Secret Power’s effect activates on 17+. |
Move:  Self-Destruct | NORMAL | DAILY 0 | 2 | DB20 | PHYSICAL |  Burst 3, Smite |  The user’s Hit Points are set to -50% of their full Hit Point value. This Hit Point loss may not be prevented or reduced in any way. The user’s loyalty toward its trainer may be lowered. |
Move:  Sharpen | NORMAL | AW 0 | 0 | NON | STATUS |  Self |  Raise the user’s Attack 1 Combat Stage. |
Move:  Shell Smash | NORMAL | SCENE 0 | 0 | NON | STATUS |  Self |  Raise the user’s Attack 2 Combat Stages, raise the user’s Special Attack 2 Combat Stages and raise the user’s Speed 2 Combat Stages. Lower the user’s Defense 1 Combat Stage and lower the user’s Special Defense 1 Combat Stage. |
Move:  Simple Beam | NORMAL | SCENE 0 | 2 | NON | STATUS |  6, 1 Target |  You choose one of the target’s Abilities. Simple Beam changes that Ability to Simple for the remainder of the encounter. |
Move:  Sing | NORMAL | SCENE 0 | 10 | NON | STATUS |  Burst 2, Friendly, Sonic |  All legal Targets fall Asleep. On a miss, Sing instead causes targets to become Slowed and suffer a -2 penalty to their Evasion until the end of the user’s next turn. |
Move:  Sketch | NORMAL | DAILY 0 | 0 | NON | STATUS |  15, 1 Target |  Sketch cannot miss. Once Sketch has been used, remove Sketch from the user’s Move list. The last Move that the target used is added to the user’s Move list permanently. Sketch may not be Interrupted or Intercepted. Once used, Sketch is replaced for the user with the added move for the purposes of things such as relearning. |
Move:  Skull Bash | NORMAL | SCENE 2 | 2 | DB13 | PHYSICAL |  Melee, 1 Target, Dash, Push, Set-Up |  The use gains +1 Defense CS.->The user may attack with Skull Bash. The target is pushed 3 meters. |
Move:  Slack Off | NORMAL | DAILY 2 | 0 | NON | STATUS |  Self, Healing |  The user regains Hit Points equal to half of its full Hit Points. |
Move:  Slam | NORMAL | AW 0 | 6 | DB8 | PHYSICAL |  Melee, 1 Target, Dash |  Slam may be used as a Free Action at the end of a Sprint Maneuver taken as a Standard Action, as long as the user Shifted at least 3 meters in a straight line towards the target. When used this way, Slam gains the Smite keyword. |
Move:  Slash | NORMAL | EOT 0 | 2 | DB7 | PHYSICAL |  Melee, Pass |  Slash is a Critical Hit on 18+. |
Move:  Sleep Talk | NORMAL | SCENE 0 | 0 | NON | STATUS |  Self |  Select another of the user’s Moves at random; this turn, the user may Shift and use that Move despite being Asleep. Sleep Talk can be only be used by Sleeping targets. |
Move:  Smelling Salts | NORMAL | SCENE 2 | 2 | DB7 | PHYSICAL |  Melee, 1 Target |  If the target is Paralyzed, Smelling Salt’s  |
Move:  Smokescreen | NORMAL | EOT 0 | 0 | NON | STATUS |  5, Ranged Blast 3 |  Smokescreen creates a blast of Smoke that covers the target area; the Smoke persists until the end of the encounter, or until Defog or Whirlwind are used. All targets attacking from or into the Smoke receive a -3 penalty to Accuracy. |
Move:  Snore | NORMAL | EOT 0 | 2 | DB5 | SPECIAL |  Burst 1, Sonic |  Snore Flinches all legal targets on 15+. Snore may only be used by Sleeping users. |
Move:  Soft-Boiled | NORMAL | DAILY 2 | 0 | NON | STATUS |  Melee, 1 Target or Self; Healing |  The target regains Hit Points equal to half of its full Hit Points. |
Move:  Sonic Boom | NORMAL | EOT 0 | 6 | NON | SPECIAL |  8, 1 Target |  Sonic Boom causes the target to lose 15 Hit Points. Sonic Boom is Special and interacts with other moves and effects as such ( Special Evasion may be applied to avoid it, Mirror Coat can reflect it, etc. ) |
Move:  Spike Cannon | NORMAL | EOT 0 | 4 | DB3 | PHYSICAL |  6, 1 Target, Five Strike |  None |
Move:  Spit Up | NORMAL | SCENE 0 | 2 | NON | SPECIAL |  4, 1 Target |  For each Stockpiled Count the user has, Spit Up’s  |
Move:  Splash | NORMAL | AW 0 | 0 | NON | STATUS |  Self, Shift Action |  The user may make a single Jump, adding +1 to their Long Jump and High Jump values, and gains +2 Evasion until the end of their next turn. |
Move:  Spotlight | NORMAL | DAILY 0 | 0 | NON | STATUS |  6, 1 Target, Priority |  Until the end of the user’s next turn, the target is Blinded and Vulnerable. |
Move:  Stockpile | NORMAL | EOT 0 | 0 | NON | STATUS |  Self |  The user adds 1 to their Stockpiled count to a maximum of 3. For each number a Stockpiled count is above 0, raise the user’s Defense 1 Combat Stage and raise the user’s Special Defense 1 Combat Stage. If a Stockpiled count is set to 0, the Combat Stages gained from the Stockpiled count are removed. Combat Stages from Stockpile may not be transferred by any means. |
Move:  Stomp | NORMAL | EOT 0 | 2 | DB7 | PHYSICAL |  Melee, 1 Target |  Stomp Flinches the target on 15+. If the target is at least one size category smaller than the user, Stomp deals an additional 10 damage. |
Move:  Strength | NORMAL | EOT 0 | 2 | DB8 | PHYSICAL |  Melee, 1 Target, Push |  You may immediately initiate a Push Maneuver as a Free Action. The Maneuver automatically hits, but you must still make the Opposed Roll. |
Move:  Substitute | NORMAL | SCENE 0 | 0 | NON | STATUS |  Self, Illusion, Coat |  The user loses 1/4 of their maximum Hit Points. This Hit Point loss cannot be prevented in any way. The user creates an Illusory Substitute Coat, which has Hit Points equal to 1/4th of the user’s full Hit Points +1. If the user would be hit by a Move or attack, instead the Substitute gets hit. Apply weakness, resistance and stats to the Substitute. The Substitute is immune to Status Afflictions and Status Moves. Moves with the Social or Sonic keywords completely ignore and bypass the Substitute. Once the Substitute has been destroyed, the user may be hit as normal. Substitute cannot be used if the user has less than 1/4 of their full Hit Points. |
Move:  Super Fang | NORMAL | SCENE 0 | 4 | NON | PHYSICAL |  Melee, 1 Target |  The target loses 1/2 of their current Hit Points. |
Move:  Supersonic | NORMAL | SCENE 2 | 6 | NON | STATUS |  4, 1 Target, Sonic |  The target becomes Confused. On miss, the target suffers a -2 penalty to Accuracy Rolls for one full round. |
Move:  Swagger | NORMAL | EOT 0 | 5 | NON | STATUS |  6, 1 Target, Social |  The target’s Attack is raised 2 Combat Stages. Swagger Confuses the target. |
Move:  Swallow | NORMAL | DAILY 2 | 0 | NON | STATUS |  Self, Healing |  If the user’s Stockpiled count is 1, they are healed 25% of their full Hit Point value; if their Stockpiled count is 2, they are healed half of their full Hit Point value; if their Stockpiled count is 3, they are healed back to full Hit Points. After using Swallow, the user’s Stockpiled count is set to 0. If the user has no Stockpiled count, Swallow does nothing. |
Move:  Sweet Scent | NORMAL | SCENE 0 | 2 | NON | STATUS |  Burst 2, Friendly |  Targets hit by Sweet Scent gain a -2 Penalty to Evasion. (Total Evasion may not be lowered to a negative value. ) |
Move:  Swift | NORMAL | EOT 0 | 0 | DB6 | SPECIAL |  8, Ranged Blast 2, Friendly |  Swift cannot Miss. |
Move:  Swords Dance | NORMAL | EOT 0 | 0 | NON | STATUS |  Self, Dance |  The user’s Attack is raised 2 Combat Stages. |
Move:  Tackle | NORMAL | AW 0 | 2 | DB4 | PHYSICAL |  Melee, 1 Target, Dash, Push |  The target is pushed 2 Meters. |
Move:  Tail Slap | NORMAL | EOT 0 | 4 | DB3 | PHYSICAL |  Melee, 1 Target, Five Strike |  None |
Move:  Tail Whip | NORMAL | AW 0 | 2 | NON | STATUS |  Burst 1, Friendly |  All legal targets have their Defense lowered by 1 Combat Stage. |
Move:  Take Down | NORMAL | EOT 0 | 5 | DB9 | PHYSICAL |  Melee, 1 Target, Dash, Recoil 1/3 |  You may perform a Trip Maneuver against the target as a Free Action. |
Move:  Tearful Look | NORMAL | EOT 0 | 2 | NON | STATUS |  Burst 1, Social, Friendly |  Tearful Look lowers all Legal Targets’ Attack and Special Attack 1 Combat Stage. |
Move:  Techno Blast | NORMAL | SCENE 0 | 2 | DB12 | SPECIAL |  6, Ranged Blast 2 |  Techno Blast’s Type can be any Type while holding the appropriate Drive item or Plate item. |
Move:  Teeter Dance | NORMAL | SCENE 0 | 2 | NON | STATUS |  Burst 1, Dance |  Teeter Dance Confuses all Legal Targets. |
Move:  Thrash | NORMAL | SCENE 2 | 3 | DB12 | PHYSICAL |  Melee, all adjacent foes, Smite, Reckless |  After damage is dealt, the user becomes Enraged and Confused. |
Move:  Tickle | NORMAL | EOT 0 | 2 | NON | STATUS |  Melee, 1 Target |  Lower the target’s Attack 1 Combat Stage and lower the target’s Defense 1 Combat Stage. |
Move:  Transform | NORMAL | AW 0 | 0 | NON | STATUS |  10, 1 Target |  The user targets a Pokémon within 10 meters, and assumes the form of the target. It replaces its Moves with the target’s, gains the target’s Abilities, and copies the target’s weight, height, size, Type and Capabilities. Transform lasts until the user is switched out, KO’d or until the end of the encounter. The user may choose to end the Transformation on its turn as a Free action, regaining its previous Move List. The user’s Stats do not change from using Transform. Transform cannot miss. Transform fails if it ever targets more than one creature. Transform fails if the user would become too large for its current surroundings to accommodate. |
Move:  Tri Attack | NORMAL | EOT 0 | 2 | DB8 | SPECIAL |  6, 1 Target |  Tri Attack gives the target a Status ailment on 17+ during Accuracy Check. If this is triggered, roll 1d3; on 1 the target is Paralyzed; on 2 the target is Burned; on 3 the target is Frozen. |
Move:  Trump Card | NORMAL | EOT 0 | 2 | DB6 | SPECIAL |  6, 1 Target |  Whenever Trump Card is used, the user gains a Trump Count after the attack is resolved. Trump Card’s  |
Move:  Uproar | NORMAL | SCENE 2 | 2 | DB9 | SPECIAL |  Burst 1, Spirit Surge, Sonic |  All Pokémon and Trainers within 5 meters of the user are cured of sleep. |
Move:  Vice Grip | NORMAL | AW 0 | 2 | DB6 | PHYSICAL |  Melee, 1 Target |  None |
Move:  Weather Ball | NORMAL | EOT 0 | 2 | DB5 | SPECIAL |  8, 1 Target |  If it is Sunny, Weather Ball is Fire-Type. If it is Rainy, Weather Ball is Water-Type. If it is Hailing, Weather Ball is Ice-Type. If it is Sandstorming, Weather Ball is Rock-Type. When a weather effect is on the field, Weather Ball has a  |
Move:  Whirlwind | NORMAL | SCENE 2 | 2 | NON | STATUS |  Line 6 |  All targets are pushed X meters, where X is 8 minus their weight class. If the Line targets into a Smokescreen, the smoke is dispersed. All hazards in the Whirlwind are destroyed. |
Move:  Wish | NORMAL | DAILY 2 | 0 | NON | STATUS |  15, 1 Target, Healing |  At the end of the user’s next turn, the target regains Hit Points equal to half of its full Hit Point value. If the user targets themselves and are replaced in battle, the replacement is healed. |
Move:  Work Up | NORMAL | EOT 0 | 0 | NON | STATUS |  Self |  Raise the user’s Attack 1 Combat Stage and raise the user’s Special Attack 1 Combat Stage. |
Move:  Wrap | NORMAL | AW 0 | 0 | NON | STATUS |  Self |  The user gains a +1 Bonus to Accuracy Rolls made to initiate Grapple Maneuvers, and +2 to Skill Checks made to initiate Grapple Maneuvers or gain Dominance. Whenever the user gains Dominance in a Grapple, the target of the Grapple loses a Tick of Hit Points. |
Move:  Wring Out | NORMAL | SCENE 2 | 2 | DB12 | SPECIAL |  Melee, 1 Target |  For every 10% the target is below their full Hit Points, Wring Out’s  |
Move:  Yawn | NORMAL | SCENE 2 | 0 | NON | STATUS |  2, 1 Target, Social |  The target falls Asleep at the end of their next turn. Yawn cannot miss. |
Move:  Acid | POISON | AW 0 | 2 | DB4 | SPECIAL |  Cone 2 |  Acid lowers the target’s Special Defense 1 Combat Stage on 18+. |
Move:  Acid Armor | POISON | SCENE 0 | 0 | NON | STATUS |  Self, Set-Up |  The user becomes Liquefied. While Liquefied, the user is Slowed and cannot take Standard Actions except to Resolve the effect of Acid Armor, and the user’s Movement is never obstructed by rough or slow terrain, and they can shift even through the smallest openings. Furthermore, while liquefied, the user is completely immune to all Physical damage, and becomes completely invisible if fully submerged in any liquid. The user does not need to resolve Acid Armor on their next turn; it persists until the end of the scene or until the user resolves it.->The user gains +1 Defense Combat Stage, and then stops being liquified. |
Move:  Acid Spray | POISON | EOT 0 | 2 | DB4 | SPECIAL |  4, 1 Target |  Acid Spray lowers the target’s Special Defense 2 Combat Stages. |
Move:  Baneful Bunker | POISON | SCENE 0 | 0 | NON | STATUS |  Self, Interrupt, Shield, Trigger |  If the user is hit by an attack, the user may use Baneful Bunker. The user is instead not hit by the Move. You do not take any damage nor are you affected by any of the Move’s effects. In addition, if the triggering attack was Melee ranged, the attacker is Poisoned. |
Move:  Belch | POISON | SCENE 2 | 4 | DB12 | SPECIAL |  Cone 2 |  Belch cannot be used if the user has not traded in a Digestion Buff during this Scene. |
Move:  Clear Smog | POISON | SCENE 2 | 0 | DB5 | SPECIAL |  6, 1 Target |  The target’s Combat Stages are reset to their default, and all Coats on the target are destroyed. Clear Smog cannot miss. |
Move:  Coil | POISON | SCENE 0 | 0 | NON | STATUS |  Self |  Raise the user’s Attack 1 Combat Stage, raise the user’s Defense 1 Combat Stage, and the user gains +1 Accuracy. |
Move:  Cross Poison | POISON | EOT 0 | 2 | DB7 | PHYSICAL |  Melee, Pass |  Cross Poison is a Critical Hit on 18+, and Poisons the target on 19+. |
Move:  Gastro Acid | POISON | SCENE 0 | 2 | NON | STATUS |  4, 1 Target |  The target’s Ability is disabled until the end of the encounter. If the target has more than one Ability, you choose one of them to disable. |
Move:  Gunk Shot | POISON | SCENE 2 | 5 | DB12 | PHYSICAL |  6, 1 Target, Smite |  Gunk Shot Poisons the Target on 15+. |
Move:  Poison Fang | POISON | EOT 0 | 2 | DB5 | PHYSICAL |  Melee, 1 Target |  Poison Fang Badly Poisons the target on 17+. |
Move:  Poison Gas | POISON | SCENE 0 | 6 | NON | STATUS |  Burst 1 or Cone 2 |  Poison Gas Poisons all Legal Targets. |
Move:  Poison Jab | POISON | EOT 0 | 2 | DB8 | PHYSICAL |  Melee, 1 Target |  Poison Jab Poisons the target on 15+. |
Move:  Poison Powder | POISON | EOT 0 | 6 | NON | STATUS |  4, 1 Target, Powder |  The target is Poisoned. |
Move:  Poison Sting | POISON | AW 0 | 2 | DB2 | PHYSICAL |  6, 1 Target |  Poison Sting Poisons the target on 17+ |
Move:  Poison Tail | POISON | AW 0 | 2 | DB5 | PHYSICAL |  Melee, 1 Target |  Poison Tail is a Critical Hit on 18+, and Poisons the target on 19+. |
Move:  Purify | POISON | SCENE 0 | 0 | NON | STATUS |  Melee, 1 Target, Healing |  The target is cured of all Permanent and Volatile Statuses. For every status removed, the user recovers a Tick of Hit Points. |
Move:  Sludge | POISON | EOT 0 | 2 | DB7 | SPECIAL |  6, 1 Target |  Sludge Poisons the target on 15+. |
Move:  Sludge Bomb | POISON | EOT 0 | 2 | DB9 | SPECIAL |  8, 1 Target |  Sludge Bomb Poisons the target on 15+. |
Move:  Sludge Wave | POISON | SCENE 2 | 2 | DB10 | SPECIAL |  Burst 1 or Close Blast 2 |  Sludge Wave Poisons targets on 19+. |
Move:  Smog | POISON | AW 0 | 7 | DB3 | SPECIAL |  Line 2 |  Smog Poisons the target on an Even-Numbered Roll. |
Move:  Toxic | POISON | SCENE 2 | 4 | NON | STATUS |  4, 1 Target |  The target is Badly Poisoned. If the user is Poison Type, Toxic cannot miss. |
Move:  Toxic Spikes | POISON | EOT 0 | 0 | NON | STATUS |  6, Hazard |  Set 8 square meters of Toxic Spikes, all 8 meters must be adjacent with at least one other space of Toxic Spikes next to each other. Toxic Spikes cause Terrain to become Slow Terrain, and a grounded foe that runs into the hazard becomes Poisoned, and Slowed until the end of their next turn. If there are 2 Layers of Toxic Spikes on the same space, it Deadly Poisons the foes instead. Poison-Type Pokémon may move over Toxic Spikes harmlessly, destroying the Hazards as they do so. |
Move:  Toxic Thread | POISON | SCENE 2 | 2 | NON | STATUS |  6, 1 Target |  The target is Poisoned and has their Speed lowered by 1 Combat Stage. If the target is already Poisoned, they instead lose a Tick of Hit Points and has their Speed lowered by 2 Combat Stages. |
Move:  Venom Drench | POISON | EOT 0 | 0 | NON | STATUS |  Cone 2 |  All Poisoned targets have their Attack, Special Attack, and Speed lowered by 1 Combat Stage. Venom Drench cannot miss. |
Move:  Venoshock | POISON | SCENE 2 | 2 | DB7 | SPECIAL |  6, 1 Target |  If the target is Poisoned, Venoshock has a  |
Move:  Agility | PSYCHIC | EOT 0 | 0 | NON | STATUS |  Self |  Raise the user’s Speed 2 Combat Stages. |
Move:  Ally Switch | PSYCHIC | SCENE 0 | 0 | NON | STATUS |  6, 1 Target, Interrupt |  Ally Switch may be declared during a foe’s turn as an Interrupt. The user chooses one willing ally within 6 meters; the target and the user switch places. If the ally was a target of a Move, the user is now the target; If the user was a target of a Move, the ally is now the target. |
Move:  Amnesia | PSYCHIC | EOT 0 | 0 | NON | STATUS |  Self |  Raise the user’s Special Defense 2 Combat Stages. |
Move:  Barrier | PSYCHIC | SCENE 2 | 0 | NON | STATUS |  Hazard |  The user creates a Barrier of psychic energy. The user places up to 4 segments of Barrier; each segment must be continuous with another segment, and at least one must be adjacent to the user. These barriers count as blocking terrain and last until the end of the encounter or until they are destroyed. Each Barrier segment is 2 meters tall, 1 meter wide, and 2 centimeters thick. Each segment has 20 Hit Points, 15 Damage Reduction, and takes damage as if it was Psychic Typed. |
Move:  Calm Mind | PSYCHIC | EOT 0 | 0 | NON | STATUS |  Self |  Raise the user’s Special Attack 1 Combat Stage and raise the user’s Special Defense 1 Combat Stage. |
Move:  Confusion | PSYCHIC | AW 0 | 2 | DB5 | SPECIAL |  6, 1 Target |  Confusion Confuses the target on 19+. |
Move:  Cosmic Power | PSYCHIC | EOT 0 | 0 | NON | STATUS |  Self |  Raise the user’s Defense 1 Combat Stage and raise the user’s Special Defense 1 Combat Stage. |
Move:  Dream Eater | PSYCHIC | EOT 0 | 2 | DB10 | SPECIAL |  Melee, 1 Target |  Dream Eater can only target Sleeping Pokémon or Trainers. After the target takes damage, the user gains Hit Points equal to half of the damage they dealt to the target. Dream Eater does not wake up sleeping targets. |
Move:  Extrasensory | PSYCHIC | EOT 0 | 2 | DB8 | SPECIAL |  5, 1 Target |  Extrasensory Flinches the target on 19+. |
Move:  Future Sight | PSYCHIC | SCENE 2 | 0 | DB12 | SPECIAL |  10, 1 Target |  Future Sight does nothing on the turn it is used. At the end of the user’s next turn, Future Sight hits, even if the user is no longer on the field. Future Sight cannot miss. |
Move:  Gravity | PSYCHIC | DAILY 2 | 0 | NON | STATUS |  Field |  For 5 rounds, the area is considered Warped. While Warped, Moves that involve the user being airborne may not be used. Pokémon cannot use Sky or Levitate Capabilities to end their turn at an altitude higher than 1 meter. Flying-Types and Pokémon with the Ability Levitate are no longer immune to Ground-Type Moves. All Accuracy Rolls receive a +2 Bonus. |
Move:  Guard Split | PSYCHIC | SCENE 0 | 0 | NON | STATUS |  Melee, 1 Target |  The target loses 5 Defense and 5 Special Defense. If they do, the user gains 5 Damage Reduction. These effects last until the end of the scene. |
Move:  Guard Swap | PSYCHIC | SCENE 0 | 0 | NON | STATUS |  Melee, 1 Target |  The user and the target trade Combat Stage values for the Defense Stat, and then for the Special Defense Stat. |
Move:  Heal Block | PSYCHIC | EOT 0 | 2 | NON | STATUS |  6, 1 Target |  Until the end of the encounter, the target may not gain Hit Points or Temporary Hit Points from any source. This effect ends if the target is switched out or Takes a Breather. |
Move:  Heal Pulse | PSYCHIC | DAILY 2 | 0 | NON | STATUS |  6, 1 Target, Aura, Healing |  Restores 50% of the target’s max Hit Points. Heal Pulse’s user may not target itself with Heal Pulse. |
Move:  Healing Wish | PSYCHIC | DAILY 0 | 0 | NON | STATUS |  6, 1 Target, Healing |  The user immediately Faints, lowering its HP to 0. The user takes no Injuries from HP Markers when using Healing Wish. The target is immediately cured of up to 3 injuries, healed to their Maximum Hit Points, and has the Frequency of all Moves restored. Healing Wish may target a Pokémon in a Poké Ball. Healing Wish does not restore the Frequency of Healing Wish or Lunar Dance. Injuries healed through Healing Wish count toward the total number of Injuries that can be healed each day, and this healing is limited by the same. |
Move:  Heart Stamp | PSYCHIC | EOT 0 | 2 | DB6 | PHYSICAL |  Melee, 1 Target |  Heart Stamp Flinches the target on 15+. |
Move:  Heart Swap | PSYCHIC | DAILY 0 | 0 | NON | STATUS |  10, 2 Targets |  The targets trade Combat Stage values for each Stat. |
Move:  Hyperspace Hole | PSYCHIC | DAILY 0 | 2 | DB8 | SPECIAL |  Melee, 3 Targets |  Make and resolve of Hyperspace Hole’s attacks separately. In between each attack, the user may Shift using their Teleporter capability, ending the Shift next to a legal target. Interrupts may not be triggered against Hyperspace Hole. |
Move:  Hypnosis | PSYCHIC | SCENE 2 | 6 | NON | STATUS |  4, 1 Target |  The target falls Asleep. |
Move:  Imprison | PSYCHIC | SCENE 2 | 0 | NON | STATUS |  10, 1 Target |  The target is Locked for the rest of the Scene. A Locked target may not use any Moves the user knows. Imprison cannot miss. |
Move:  Instruct | PSYCHIC | SCENE 2 | 0 | NON | STATUS |  Melee, 1 Target |  The target immediately reuses the attack it performed last, ignoring frequency, as a Free Action. They may choose new targets for the copied attack. Instruct may not be used if the Target’s last Move was a Set-Up Move, a Trigger Move, or Instruct, or if the Target is currently affected by Exhaust. |
Move:  Kinesis | PSYCHIC | SCENE 0 | 0 | NON | STATUS |  6, 1 Target, Trigger, Interrupt |  If the user or an Ally within 6 meters is about to be hit by an attack, the user may use Kinesis as an interrupt. The triggering Accuracy Roll receives a -4 penalty. This may cause Moves to miss. |
Move:  Light Screen | PSYCHIC | SCENE 0 | 0 | NON | STATUS |  Blessing |  Blessing – Any user affected by Light Screen may activate it when receiving Special Damage to resist the Damage one step. Light Screen may be activated 2 times, and then disappears. |
Move:  Lunar Dance | PSYCHIC | DAILY 0 | 0 | NON | STATUS |  8, 1 Target, Healing, Dance |  The user immediately Faints, lowering its Hit Points to 0. The user takes no Injuries from Hit Point Markers when using Lunar Dance. The target is immediately cured of up to 3 injuries, healed to their Maximum Hit Points, and has the Frequency of all Moves restored. Lunar Dance may target a Pokémon in a Poké Ball. Lunar Dance does not restore the Frequency of Healing Wish or Lunar Dance. Injuries healed through Lunar Dance count toward the total number of Injuries that can be healed each day, and this healing is limited by the same. |
Move:  Luster Purge | PSYCHIC | SCENE 2 | 2 | DB7 | SPECIAL |  12, 1 Target |  Mist Ball lowers the target’s Special Defense by 1 Combat Stage on an Even-Numbered Roll. |
Move:  Magic Coat | PSYCHIC | DAILY 0 | 0 | NON | STATUS |  4, Interrupt, Reaction |  If the user is about to get a hit by a Move that does not have a Damage Dice Roll, they may use Magic Coat as an Interrupt. The Interrupted Move’s user is treated as if they were the target of their own Move, with the user of Magic Coat as the user. |
Move:  Magic Room | PSYCHIC | DAILY 2 | 0 | NON | STATUS |  Field |  The area becomes Useless for 5 rounds. While Useless, Pokémon may not benefit from the effects of any Held Items, and Trainers cannot benefit from any Accessory-Slot equipment. This does not affect consumable or activated items, only Items with Static effects or Triggers. |
Move:  Meditate | PSYCHIC | AW 0 | 0 | NON | STATUS |  Self |  Raise the user’s Attack 1 Combat Stage. |
